lang,avg_f1,avg_em,avg_chrf,avg_bleu
de,0.5169000622843916,0.35992762743864065,59.17286586237649,45.70690011170928
es,0.45293910770289436,0.24340299726085127,51.42527568718269,36.96503567044404
fr,0.4338251791473473,0.26451847106555626,50.76006200082822,36.361396106785676
ru,0.48425236332293037,0.25506736178293743,54.52180022931758,38.45126951069605
zh-CN,0.41919918635776,0.1955381604696673,48.57077591940749,32.496919096152304
