lang,severity,count,avg_f1,avg_em,avg_chrf,avg_bleu
de,Neutral,409,0.6035749482047105,0.4424700197927582,67.79332738866093,54.657445857418196
de,Minor,567,0.5260790129290506,0.3545960359452423,60.10417797929784,46.0346355097109
de,Major,1508,0.4898005878523958,0.33893441328786156,56.485260755298974,43.13145725012134
de,Critical,13,0.533170376631915,0.43076923076923074,59.10254024146378,48.56602738961297
es,Neutral,264,0.5269213336003165,0.3048160173160173,57.845618587891956,43.94651011122874
es,Minor,1376,0.4407812960495976,0.23292237679955702,50.39532248276571,35.76809713978284
es,Major,74,0.4438174187645346,0.23806306306306307,49.76925927976727,36.03191572421966
es,Critical,94,0.4303098117396552,0.22854609929078015,49.77410864079186,35.613216966648956
fr,Neutral,371,0.522144556420516,0.3605827236554999,61.53742917455571,45.918037055708474
fr,Minor,593,0.3930526033766101,0.22050108407612626,45.804710219165216,31.907235544675263
fr,Major,140,0.39103150730514447,0.21360544217687075,45.04989900628568,31.73725411158326
fr,Critical,11,0.19771268111189058,0.045454545454545456,27.08217148348481,13.014423434918198
ru,Neutral,587,0.49760679086151105,0.253635650739569,56.19039276470321,38.677697389411186
ru,Minor,205,0.5000772192140424,0.301374370886566,54.67773118700662,41.707007225349905
ru,Major,74,0.3753779899545736,0.17696267696267695,43.82545941610333,30.398184040523297
ru,Critical,20,0.33293032364460934,0.11142857142857143,43.526778008329224,28.23071593484417
zh-CN,Neutral,663,0.43303203720479533,0.23373554550025138,50.38689497645369,35.51505877852924
zh-CN,Minor,1207,0.4221287680109097,0.18116147867597743,48.47366911601171,31.614431772341774
zh-CN,Major,318,0.37902776270695826,0.1696765498652291,45.13004147083855,29.498226236939633
zh-CN,Critical,2,0.45286296336716503,0.3214285714285714,52.20804168039571,41.35687892266813
