Severity,baseline_F1,bt_laura_F1,delta_F1,baseline_EM,bt_laura_EM,delta_EM,baseline_chrF,bt_laura_chrF,delta_chrF,baseline_BLEU,bt_laura_BLEU,delta_BLEU,baseline_str_count,bt_laura_str_count,baseline_SBERT,bt_laura_SBERT,delta_SBERT,baseline_sbert_count,bt_laura_sbert_count
Neutral,0.5052,0.5338,0.0286,0.3047,0.1439,-0.1608,57.6370,55.7731,-1.8640,42.3900,33.6785,-8.7115,2294,2329,0.6641,0.7251,0.0610,2294,2329
Minor,0.4432,0.4717,0.0285,0.2363,0.1182,-0.1180,50.7350,49.7922,-0.9428,35.7011,28.3169,-7.3843,3948,3960,0.5996,0.6647,0.0651,3948,3960
Major,0.4610,0.4496,-0.0114,0.2960,0.1152,-0.1808,53.3416,48.7196,-4.6219,39.6318,26.1859,-13.4459,2114,2126,0.6171,0.6446,0.0275,2114,2126
Critical,0.4080,0.4533,0.0453,0.2175,0.1291,-0.0885,47.9997,48.9268,0.9271,34.0678,26.5420,-7.5258,140,141,0.6022,0.6384,0.0362,140,141
