Language,baseline_F1,bt_laura_F1,baseline_EM,bt_laura_EM,baseline_chrF,bt_laura_chrF,baseline_BLEU,bt_laura_BLEU,baseline_str_count,bt_laura_str_count,baseline_SBERT,bt_laura_SBERT,baseline_sbert_count,bt_laura_sbert_count,delta_F1,delta_EM,delta_chrF,delta_BLEU,delta_SBERT
de,0.5169,0.4859,0.3599,0.1488,59.1729,51.5866,45.7069,29.7220,2497,2531,0.6613,0.6679,2497,2531,-0.0310,-0.2111,-7.5862,-15.9849,0.0066
es,0.4529,0.5254,0.2434,0.1637,51.4253,54.5513,36.9650,33.9837,1808,1808,0.6105,0.6963,1808,1808,0.0725,-0.0797,3.1261,-2.9814,0.0858
fr,0.4338,0.4742,0.2645,0.1627,50.7601,51.1780,36.3614,31.2740,1115,1125,0.6073,0.6677,1115,1125,0.0404,-0.1018,0.4179,-5.0874,0.0604
ru,0.4843,0.5232,0.2551,0.0870,54.5218,54.2409,38.4513,29.8547,886,886,0.6307,0.7056,886,886,0.0389,-0.1681,-0.2809,-8.5966,0.0749
zh-CN,0.4192,0.4325,0.1955,0.0606,48.5708,46.5648,32.4969,23.4280,2190,2206,0.5884,0.6599,2190,2206,0.0133,-0.1349,-2.0060,-9.0689,0.0715
