severity,count_baseline,count_ner,baseline_f1,ner-extension_f1,delta_ner_f1_pct,baseline_em,ner-extension_em,delta_ner_em_pct,baseline_chrf,ner-extension_chrf,delta_ner_chrf_pct,baseline_bleu,ner-extension_bleu,delta_ner_bleu_pct
Neutral,9713,4675,0.4808,0.7371,53.31,0.2822,0.4933,74.79,55.495,75.4912,36.03,40.0781,59.4324,48.29
Minor,20037,9107,0.4185,0.7365,75.99,0.2149,0.4996,132.48,48.3808,75.1079,55.24,33.2786,59.6872,79.36
Major,10505,5448,0.4409,0.6616,50.05,0.2797,0.4686,67.56,51.3606,70.3758,37.02,37.613,53.0948,41.16
Critical,677,344,0.3906,0.5936,51.98,0.1905,0.4186,119.69,46.847,58.8231,25.56,32.1853,45.7944,42.28
OVERALL,40932,19574,0.4386,0.7133,62.64,0.2471,0.488,97.52,50.8083,73.5962,44.85,35.9864,57.5473,59.91
