perturbation,f1,em,bleu,chrf,sbert
alteration,0.3760672909965507,0.13817460317460314,21.569809013989165,40.1355204355265,0.5545219055151015
expansion_impact,0.43589560779618797,0.18193121693121694,25.286976657252787,45.59249889539879,0.6009764038655592
expansion_noimpact,0.45109228398021606,0.18515873015873016,26.916585165676427,46.81280492959459,0.6101995087692405
intensifier,0.4441513954723455,0.18899470899470897,26.803283440005067,47.01086004220202,0.6137563819355928
omission,0.40330844026682605,0.14986772486772487,23.429989273691,41.98252675312566,0.5745075593366924
spelling,0.4442221645097991,0.18444444444444444,26.827137175928275,46.45545191184695,0.6105956776021787
synonym,0.43638769492622187,0.17994708994708994,26.289926808288214,45.548054840625966,0.604475071490003
word_order,0.4580433236929685,0.18867724867724867,26.98860164851836,47.117332352476225,0.6199644209726877
