lang,f1,em,bleu,chrf,sbert
es,0.4396954094056685,0.09996693121693122,25.212729924222756,45.78249032619146,0.6118431985260926
fr,0.43243491692735975,0.092989417989418,24.498259400835195,44.74682841743435,0.6278118098615783
hi,0.40592433643486525,0.09507275132275132,22.84750909341866,40.62404161801539,0.5754090272749574
tl,0.3638303763786512,0.08624338624338623,21.85253632114481,38.34705765529013,0.5038664739372155
zh,0.4759102130968915,0.10793650793650793,26.593512235222278,46.85161338470223,0.6608955739418947
