perturbation,f1,em,bleu,chrf,sbert
alteration,0.3830746884612431,0.07208994708994708,21.229669626346517,40.260400005178596,0.5574253663897425
expansion_impact,0.4122337115282961,0.08648148148148146,23.034888461088315,42.21107102730824,0.5953609943208803
expansion_noimpact,0.4386960859922062,0.09531746031746031,24.760239280361198,44.251122817714844,0.6107018759709945
intensifier,0.43814351789235073,0.0994179894179894,25.05914256290466,44.30480764786431,0.609234009498001
omission,0.3970696157423515,0.0837037037037037,22.537781565619493,41.27519157478082,0.5737908882884526
spelling,0.4347980873401901,0.10738095238095238,25.625075532945083,44.67204365702285,0.6064715740179751
synonym,0.4375704248229188,0.10939153439153439,25.609107487070222,44.33307697914673,0.6059478925563341
word_order,0.4468862718099412,0.11775132275132275,25.751370643414436,44.855536533597295,0.6087891326244015
