lang,avg_f1,avg_em,avg_chrf,avg_bleu,count
de,0.4859386665895083,0.14884385994619106,51.586622050186904,29.722048094800037,2531
es,0.5254180199361741,0.1636871839443742,54.55134455735516,33.983658628049,1808
fr,0.47420357815766734,0.16271534391534392,51.177952952229575,31.274038755013375,1125
ru,0.5231714479562375,0.08696433050270523,54.24093560761374,29.85471154390563,886
zh-CN,0.4324960618271832,0.06061660838406079,46.56477482997129,23.42801134358448,2206
