perturbation,f1,em,bleu,chrf,sbert
alteration,0.5796891025298482,0.1189153439153439,35.17747595987612,59.89675357538244,0.752172433495492
expansion_impact,0.6151661841396401,0.1575925925925926,38.56115220675782,62.79863851552247,0.7843530006100123
expansion_noimpact,0.6295680846694274,0.17383597883597884,40.74238423323839,63.770705707218944,0.7896975519032114
intensifier,0.6347539693022098,0.17539682539682538,41.038806658340825,64.00813581824748,0.7933561352400907
omission,0.5986064316758759,0.14362433862433863,37.091299041408384,59.86382330826409,0.7657682337290139
spelling,0.6378642798987499,0.17722222222222223,41.74224826693092,64.40082974175803,0.7903465730589494
synonym,0.6379489765300804,0.1816931216931217,41.899605198781465,64.07659570473686,0.7947998417256568
word_order,0.6306441010816304,0.17857142857142855,40.28621440708408,63.62895612284895,0.7927832186663593
