lang,f1,em,bleu,chrf,sbert
es,0.6420552858618351,0.16949404761904763,41.37006333016033,65.73735313269233,0.8108584519997412
fr,0.6428292793559867,0.17420634920634923,41.36579356096576,64.92649568185804,0.8052099172278768
hi,0.5982512094001536,0.1480654761904762,37.28726643483146,60.035304068401295,0.7634791331478423
tl,0.5806851254131251,0.1515542328042328,36.37718851237292,59.5412126027372,0.7393410513454693
zh,0.6388298061110634,0.17346230158730158,41.436679394430776,63.78740857304816,0.7956595640470613
