lang,f1,em,bleu,chrf,sbert
es,0.45606296014030834,0.1833664021164021,25.740816849414287,48.30942427989847,0.621050535744871
fr,0.45727355269971276,0.17372685185185185,27.157845702360444,48.953906662867674,0.6543342545703078
hi,0.40606168795383124,0.1636739417989418,23.365771476274336,41.0111654372939,0.561794753334634
tl,0.39562277314385486,0.1773809523809524,25.051672806382626,42.665424474268484,0.5647926487812093
zh,0.44070915208799016,0.17509920634920637,26.254086405161615,44.46948549616942,0.5911508884983877
