label,nli_count,nli_avg_confidence,llm_count,llm_avg_confidence
entailment,2428,0.924,2461,0.9849
neutral,999,0.9002,1023,0.9468
contradiction,253,0.8574,196,0.9398
OVERALL,3680,0.913,3680,0.9719
