lang,severity,f1,em,chrf,bleu
de,Major,0.6,0.3333333333333333,56.746801848040754,48.76925720663677
de,Minor,0.7361111111111112,0.5,77.5245659356594,66.91282505906916
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.4,0.0,62.69112238321679,15.97357760615681
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.5777777777777778,0.0,63.54195810194835,38.11529613869205
de,Neutral,0.8571428571428571,0.0,57.75719955158476,71.65313105737896
de,Neutral,0.0,0.0,0,0
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.3333333333333333,0.3333333333333333,51.39156758460832,54.631436808209095
de,Neutral,0.4839743589743589,0.0,69.65556542958981,32.638024489033796
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.7222222222222222,0.3333333333333333,78.59030215031488,58.786571270524234
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,0.75,0.75,75.0,75.00000000000003
de,Major,0.75,0.75,75.0,75.00000000000003
de,Minor,0.75,0.75,75.0,75.00000000000003
de,Minor,0.0,0.0,0,0
de,Minor,0.9523809523809524,0.6666666666666666,96.79495881598935,84.17939929616108
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.0,0.0,0,0
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.0,0.0,0,0
de,Neutral,0.0,0.0,0,0
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,0.5833333333333334,0.3333333333333333,53.74125719371423,45.118446353109135
de,Major,0.5833333333333334,0.3333333333333333,53.74125719371423,45.118446353109135
de,Neutral,0.9777777777777779,0.6666666666666666,98.38730456258072,95.52010184180574
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,0.6666666666666666,0.6666666666666666,66.49656724365506,54.58601006790923
de,Neutral,1.0,1.0,68.72835497835497,0.0
de,Neutral,0.25,0.25,17.77380177115036,0.0
de,Neutral,1.0,1.0,97.49021811521811,83.33333333333336
de,Neutral,0.5,0.5,49.137644241991026,13.758030203727612
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.5652173913043478,0.5,56.652602500043336,50.82333212095552
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.0,0.0,0,0
de,Neutral,0.0,0.0,0.0,0.0
de,Major,0.5686274509803922,0.3333333333333333,62.54459349653865,51.829088683705265
de,Major,0.5686274509803922,0.3333333333333333,62.54459349653865,51.829088683705265
de,Minor,0.8,0.8,80.0,80.00000000000003
de,Minor,0.8,0.8,80.0,80.00000000000003
de,Minor,0.8800000000000001,0.8,100.0,86.06530659712637
de,Major,0.8800000000000001,0.8,100.0,86.06530659712637
de,Major,0.7923076923076923,0.5,87.40524820903597,69.01686310481767
de,Major,0.8888888888888888,0.6666666666666666,71.4656290531777,78.92931470571477
de,Major,0.4000000000000001,0.0,51.64945419295776,23.46808488516353
de,Major,0.4000000000000001,0.0,51.64945419295776,23.46808488516353
de,Major,0.6533333333333333,0.2,81.12770365589608,51.0458919965854
de,Major,0.6533333333333333,0.2,81.12770365589608,51.0458919965854
de,Major,0.8800000000000001,0.8,100.0,86.06530659712637
de,Major,1.0,1.0,76.67493796526054,68.39397205857215
de,Major,0.811111111111111,0.6666666666666666,80.02685320611154,62.01857699775926
de,Minor,1.0,1.0,90.9136009122814,50.00000000000002
de,Minor,0.8551136363636364,0.5,84.55759898833692,67.22189007093907
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.9166666666666666,0.75,90.0673488494686,84.1969860292861
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.5227272727272727,0.25,83.57389777401488,43.20465119903437
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,1.0,1.0,99.21441624102806,86.48678525004539
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.9509803921568628,0.8333333333333334,96.42146028730264,90.56031515058116
de,Major,0.39999999999999997,0.2857142857142857,71.47647583646747,40.364025888909396
de,Major,0.39999999999999997,0.2857142857142857,71.47647583646747,40.364025888909396
de,Minor,0.39999999999999997,0.2857142857142857,71.47647583646747,40.364025888909396
de,Major,1.0,1.0,80.90861406113491,50.00000000000002
de,Major,0.606060606060606,0.0,63.47008615197745,16.980842417461677
de,Minor,0.606060606060606,0.0,63.47008615197745,16.980842417461677
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Major,0.8333333333333334,0.6666666666666666,80.36824912215464,66.6666666666667
de,Major,0.5,0.5,64.81245878637147,50.00000000000002
de,Minor,0.5,0.5,64.81245878637147,50.00000000000002
de,Minor,0.6493506493506493,0.0,77.88188103505075,28.19665316702934
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Minor,0.7694235588972432,0.3333333333333333,69.03475697274297,57.454679909502566
de,Major,0.7694235588972432,0.3333333333333333,69.03475697274297,57.454679909502566
de,Major,0.7694235588972432,0.3333333333333333,69.03475697274297,57.454679909502566
de,Major,0.7694235588972432,0.3333333333333333,69.03475697274297,57.454679909502566
de,Major,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Major,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,0.48214285714285715,0.25,9.594517998556872,13.768388001056486
de,Major,0.48214285714285715,0.25,9.594517998556872,13.768388001056486
de,Major,0.48214285714285715,0.25,9.594517998556872,13.768388001056486
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Minor,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Minor,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Major,0.7666666666666666,0.6666666666666666,83.27661636635987,69.94978315629628
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Minor,0.7307692307692308,0.5,69.57738709586206,53.418601669558164
de,Minor,0.7307692307692308,0.5,69.57738709586206,53.418601669558164
de,Major,1.0,1.0,100.0,100.00000000000004
de,Major,0.7666666666666666,0.3333333333333333,63.834268865751575,31.97887123603225
de,Minor,0.7666666666666666,0.3333333333333333,63.834268865751575,31.97887123603225
de,Major,0.7666666666666666,0.3333333333333333,63.834268865751575,31.97887123603225
de,Minor,0.7666666666666666,0.3333333333333333,63.834268865751575,31.97887123603225
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Major,1.0,1.0,100.0,100.00000000000004
de,Minor,0.7307692307692308,0.5,69.57738709586206,53.418601669558164
de,Minor,0.7307692307692308,0.5,69.57738709586206,53.418601669558164
de,Minor,0.7307692307692308,0.5,69.57738709586206,53.418601669558164
de,Major,0.6,0.3333333333333333,53.14129249402208,39.06779695766979
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.6666666666666666,0.6666666666666666,75.93447944856436,66.6666666666667
de,Neutral,1.0,1.0,100.0,100.00000000000004
de,Neutral,0.875,0.5,86.86024272747919,56.11153778043629
de,Minor,1.0,1.0,100.0,100.00000000000004
de,Minor,0.6666666666666666,0.0,79.6930068379174,34.66806371753173
de,Minor,0.6666666666666666,0.0,79.6930068379174,34.66806371753173
de,Minor,0.4000000000000001,0.0,70.47733246288875,25.542214525806713
de,Minor,0.4000000000000001,0.0,70.47733246288875,25.542214525806713
de,Minor,0.5714285714285715,0.0,74.92695487446963,34.98330125272251
