perturbation,matches,total,agreement_rate_pct
alteration,661,825,80.12
expansion_impact,658,825,79.76
expansion_noimpact,665,825,80.61
intensifier,632,825,76.61
omission,652,825,79.03
spelling,679,825,82.3
synonym,665,825,80.61
word_order,684,825,82.91
OVERALL,5296,6600,80.24
