lang,baseline_sbert,ner_sbert,delta_sbert,baseline_f1,ner_f1,delta_f1,baseline_em,ner_em,delta_em,baseline_chrf,ner_chrf,delta_chrf,baseline_bleu,ner_bleu,delta_bleu
de,0.6713,0.7858,+0.1145,0.5169,0.6751,+0.1582,0.3599,0.5491,+0.1892,59.17,69.24,+10.07,45.71,57.85,+12.14
es,0.5960,0.7120,+0.1160,0.4529,0.6862,+0.2333,0.2434,0.5122,+0.2688,51.43,69.62,+18.19,36.97,58.80,+21.83
fr,0.6080,0.7100,+0.1020,0.4338,0.6395,+0.2057,0.2645,0.4329,+0.1684,50.76,65.07,+14.31,36.36,50.52,+14.16
ru,0.6077,0.7942,+0.1865,0.4843,0.7095,+0.2252,0.2551,0.4812,+0.2261,54.52,71.93,+17.41,38.45,58.01,+19.56
zh-CN,0.5798,0.7123,+0.1325,0.4192,0.6080,+0.1888,0.1955,0.4043,+0.2088,48.57,63.36,+14.79,32.50,50.03,+17.53
AVERAGE,0.6126,0.7429,+0.1303,0.4614,0.6637,+0.2022,0.2637,0.4759,+0.2123,52.89,67.84,+14.95,38.00,55.04,+17.04
