lang,avg_f1,avg_em,avg_chrf,avg_bleu,count
de,0.59124455252516,0.29072595059359185,60.87317141614411,43.25229854022838,2531
es,0.5631216990207678,0.22263155815423513,57.44829235727743,39.412004430732786,1808
fr,0.5284835301761284,0.22979259259259258,55.206539206998706,37.4346107683217,1125
ru,0.5482604500115421,0.16362194990863163,57.096145837772426,34.966602509367114,886
zh-CN,0.5183817010838655,0.1487728273539697,54.545412294529065,32.70726858865346,2206
