severity,count,baseline_sbert,P1_sbert,P2_sbert,P3_sbert,delta_P1_pct,delta_P2_pct,delta_P3_pct
Neutral,9713,0.6397,0.7315,0.6503,0.6644,14.35,1.65,3.85
Minor,20037,0.5768,0.6715,0.5824,0.59,16.42,0.97,2.3
Major,10505,0.5951,0.6709,0.5856,0.5968,12.73,-1.59,0.29
Critical,677,0.5787,0.6214,0.5395,0.5483,7.37,-6.77,-5.26
OVERALL,40932,0.5964,0.6849,0.5988,0.609,14.84,0.4,2.1
