severity,count,baseline_f1,P1_f1,P2_f1,P3_f1,delta_P1_f1_pct,delta_P2_f1_pct,delta_P3_f1_pct,baseline_em,P1_em,P2_em,P3_em,delta_P1_em_pct,delta_P2_em_pct,delta_P3_em_pct,baseline_chrf,P1_chrf,P2_chrf,P3_chrf,delta_P1_chrf_pct,delta_P2_chrf_pct,delta_P3_chrf_pct,baseline_bleu,P1_bleu,P2_bleu,P3_bleu,delta_P1_bleu_pct,delta_P2_bleu_pct,delta_P3_bleu_pct
Neutral,9713,0.4808,0.5853,0.5091,0.5281,21.73,5.88,9.84,0.2822,0.2423,0.278,0.288,-14.15,-1.48,2.05,55.495,60.3955,53.3592,55.6897,8.83,-3.85,0.35,40.0781,41.0775,36.1138,40.0231,2.49,-9.89,-0.14
Minor,20037,0.4185,0.5127,0.4338,0.4485,22.49,3.65,7.16,0.2149,0.1736,0.212,0.2137,-19.22,-1.36,-0.57,48.3808,53.5039,46.1534,48.0308,10.59,-4.6,-0.72,33.2786,33.9882,29.892,32.0041,2.13,-10.18,-3.83
Major,10505,0.4409,0.5124,0.44,0.449,16.2,-0.22,1.83,0.2797,0.2109,0.2561,0.2359,-24.57,-8.43,-15.65,51.3606,54.1188,46.733,48.4896,5.37,-9.01,-5.59,37.613,35.2161,31.3737,33.0436,-6.37,-16.59,-12.15
Critical,677,0.3906,0.4545,0.3821,0.4227,16.36,-2.17,8.21,0.1905,0.1359,0.2046,0.1845,-28.67,7.36,-3.15,46.847,49.632,42.6931,44.9743,5.94,-8.87,-4.0,32.1853,28.5822,26.5205,29.1453,-11.19,-17.6,-9.45
OVERALL,40932,0.4386,0.5291,0.4526,0.4673,20.63,3.2,6.56,0.2471,0.1991,0.2391,0.2368,-19.42,-3.23,-4.17,50.8083,55.2552,47.9782,49.9403,8.75,-5.57,-1.71,35.9864,35.9191,31.7139,34.1532,-0.19,-11.87,-5.09
