Language,LLM_entailment_pct,LLM_neutral_pct,LLM_contradiction_pct,LLM_avg_entailment_prob,LLM_avg_neutral_prob,LLM_avg_contradiction_prob,LLM_count,NLI_entailment_pct,NLI_neutral_pct,NLI_contradiction_pct,NLI_avg_entailment_prob,NLI_avg_neutral_prob,NLI_avg_contradiction_prob,NLI_count
de,0.5393,0.3059,0.1548,0.5342,0.3093,0.1567,1276,0.6586,0.2527,0.0887,0.6224,0.2742,0.1034,1276
es,0.4345,0.3892,0.1763,0.4376,0.3863,0.1761,801,0.5780,0.3421,0.0798,0.5533,0.3510,0.0956,801
fr,0.4353,0.3698,0.1949,0.4353,0.3665,0.1983,747,0.5881,0.3118,0.1000,0.5622,0.3275,0.1103,747
ru,0.4461,0.3556,0.1983,0.4506,0.3494,0.2001,680,0.5975,0.3057,0.0967,0.5752,0.3135,0.1113,680
zh-CN,0.4208,0.3962,0.1830,0.4167,0.3902,0.1932,1654,0.5401,0.3780,0.0818,0.5182,0.3839,0.0979,1654
