lang,avg_f1,avg_em,avg_chrf,avg_bleu,count
de,0.5131151543394404,0.33925278922315666,53.219015865260126,38.36415139779109,2531
es,0.472142278055558,0.2442787347239781,50.32993806588512,34.17164100848573,1808
fr,0.46680223914553365,0.2801481481481481,48.75447582154607,33.38272208552472,1125
ru,0.48948596715654397,0.22984700275896663,51.68597589252416,33.3818012050573,886
zh-CN,0.44940225601473477,0.19933838449250962,47.092325129639256,29.390417352693774,2206
