config,f1,em,bleu,chrf,sbert
atomic,0.7026279437669238,0.24399801587301587,49.424739626732574,70.55362959963892,0.8297931310597859
semantic,0.5727745829121014,0.11666666666666667,34.55353436912698,58.392007212256274,0.735560638745988
vanilla,0.5861878970062733,0.1294047619047619,34.723920743797194,59.47102762334701,0.7833751008550208
