Severity,baseline_F1,ner_F1,delta_F1,baseline_EM,ner_EM,delta_EM,baseline_SBERT,ner_SBERT,delta_SBERT,baseline_count,ner_count
Neutral,0.5052,0.6755,0.1703,0.3047,0.4952,0.1905,0.6641,0.7594,0.0953,2294,2329
Minor,0.4432,0.6622,0.2189,0.2363,0.4693,0.233,0.5996,0.7406,0.1409,3948,3960
Major,0.461,0.6404,0.1795,0.296,0.4923,0.1963,0.6171,0.7443,0.1272,2114,2126
Critical,0.408,0.5799,0.1719,0.2175,0.4437,0.2262,0.6022,0.6555,0.0533,140,141
